text,topic,sentiment
"Why WHO skipped two letters of the Greek alphabet in naming Omicron
https://t.co/xPJ1TS3pLP",ac,/
"I blame trump for all the mess that this country is in. First COVID. He came to Georgia laughing and not taking it serious. He stated we only have 1 or 2 cases, not bad  and kept the country open. Dummy look what has happened because of trump IGNORANCE. Almost 800,000l lives lost",m,n
The small but vocal group of around 30 is protesting various pandemic measures taken by the Government https://t.co/IzK3YQ7lop,m,n
I have a relative that caught Covid-19 and she won’t come out of a coma. She is suffering a bleed in her brain. Her lungs have improved but she won’t wake up. Prayers or good vibes requested.,cs,n
"My favorite thing about US covid measures is that at a lot of locations, you have to be inside a car to be tested at a drive-thru facility. That alone says so much about how little the country gives a shit about its people",m,n
"I gave up caring a while ago.

Oh ya, update on my mom and her Covid. She got released from the hospital over the weekend and is doing much better. https://t.co/dVcnIFtdC0",cs,p
"When anyone / everyone for any reason is diagnosed COVID.
It's a money maker. Since Uncle Sam picks up the bill and of course Ins. companies get billed also. https://t.co/qskPKSiRy7",m,n
tf is an omicron. bro why they dropping new covid variants like it’s a pokémon card opening https://t.co/iGMulwu2ng,ac,n
"Great, now Covid has the Decepticon variant, we’re fucked",ac,n
Retweet this with a pic of you just before Covid hit https://t.co/dkn4mXgQ1H https://t.co/DONio6JEdE,ac,/
never forget it was #Fauci and his mad #science that unleached #Covid #Pandemic on the world #FauciLiedMillionsDied,m,n
I knew the cow girls were gonna fuck us with Covid https://t.co/6hO5ajDZbq,ac,n
"Exclusive: Forced to Get Vaccine to Remain on Lung Transplant List, 49-Year-Old Who Survived COVID Dies After 2nd Moderna Shot
MY TAKE: Whoever set this vaccination policy is an idiot, a murderer, or both, and has no business working in the medical field.
https://t.co/ZYPTiVFa5e",v,n
Covid vibes https://t.co/DJvcOqddUn,ac,/
"In Conversation with the Surgeon General: The Latest on COVID-19 Children’s Vaccines, Boosters and Combating Misinformation-
Nov 30, 2021 3:30 PM

Register: https://t.co/gNOH4GfvkN https://t.co/5mvSWMQmKg",v,p
"""Finally, our study suggests reduced vaccine effectiveness and/or waning immunity, particularly in those with no prior SARS-CoV-2 infection. The need for an additional dose of vaccine warrants further investigation."" https://t.co/u5pagUcwBc",v,p
Anti-vax Wayne County Republican is in ICU with COVID-19 https://t.co/ajEHPZWmYD,v,p
"Might there actually be deliberate plan, all along...? https://t.co/Q7APiufvZX #globalresearch #FauciGate #FauciLies #MSM",ac,n
"Democrat de Blasio Wants Vaccine Passports For NYC’s Subway System

https://t.co/EQuEE0pNap https://t.co/KnxoPp599c",m,/
"The requirement applies to all students attending classes on the Ithaca, Geneva, and Cornell Tech campuses. https://t.co/7OBBBKjwsj",m,/
"Just landed in Adelaide.
What a complete circus! 🤡 After funnelling the first 30 people on the flight to go through the airport covid check desks, they let all the passengers from the back half of the plane to freely walk out!! 🤣",m,n
"Covid: as rules on mask wearing in England return, what exactly is the law? | Coronavirus | The Guardian https://t.co/X77z7yeiPR",m,/
Pfizer set to request authorization for coronavirus booster for 16- and 17-year-olds https://t.co/J7wmSpx3nD,v,p
i wanna go out not worrying one bit abt this pandemic but i cant cus there are ppl who are anti-vaxxers and does not care a lot abt spreading it. potanginaaaa niyo mga puti umayos kayoooo,ac,n
"this is extra disgusting when you think about the fact jen's companies&amp;colleagues preyed on people trying to work from home in the middle of a pandemic where most people HAD to work from home...

#RHOSLC
#TheHousewifeAndTheShahShocker #RHOP #RHOPReunion #RHOA #RHOBH #RHONY #RHOC https://t.co/Pu51xAbFbU",m,n
"The same goes for the vaccine influencers. They don't care what the vaxx does for them

They are only interested in how they the system torments the unvaxxed https://t.co/dInZZX3Fob",v,n
"Vaccine mandate looms for all Queensland teachers
https://t.co/76xFcxIq0s",m,/
"The sad reality of this virus 🦠
▪️More than 775,000 people in the 🇺🇸  have died from COVID-19.
▪️Left behind are tens of thousands of children — some orphaned entirely — after the parent or grandparent who cared for them died 🥲🥲

 https://t.co/h4JNrDdTMH",cs,n
"1/3 #HUNT Concernd citizens want to remain informed re Covid developmnts. Why then did I switch #OleaginousHunt off as he discussd #Omicron? Let’s be frank.#TRUST is gone.
#HUNT shld have been sacked long ago.
From #AgedCare to #Health portfolio, #HUNT has failed.",m,n
"since the pandemic i have
uh
17k stars from like 4k stars i think
i beat some levels
realized i wasnt straight
uh
met some cool people
got a few twitter followers
idk my life is boring lmao nothing eventful happened https://t.co/zjDK23SnD4",ac,n
"Thanos is just these ghouls in a trenchcoat! They are pictured here together because of their 'health' project. These depop obsessed billionaires &amp; eugenists finally achieved their dream, a global attempt to get a biowea...er 'vaccine' in every human being https://t.co/G7K03Aq3Ch https://t.co/NFVTIjq1ON",v,n
"How am I a danger to them???

The vaccine does not kill the virus https://t.co/FWbn2zH8JY",v,n
"Damn straight!

Meanwhile...in Michigan....with the highest covid surge in the country.  Not a mask in sight!

Total INLGAF state. https://t.co/Z3pQ861ISm https://t.co/MYYaOMt7Gb",ac,n
"TSA Evaluated 2.45 Million Passengers on Sunday, Highest Pandemic-Period Complete Quantity https://t.co/obH2oBJQmS",s,/
White House says US agencies can delay punishing COVID-19 unvaccinated federal workers https://t.co/BlBpojyfA1 https://t.co/9qXrbhTU3l,m,/
Grant aims to boost COVID-19 vaccination rate in Black communities https://t.co/9meV52NPyV,v,p
okay like she’s out w leigh’s ex (wc i’m 100% sure leigh-anne doesn’t even care ab) but how is no one talking ab how she recently got covid and suddenly going out like ??? haven’t had time to write songs for confetti but goes on a night out days after getting covid,ac,n
tldr: @fordnation ignored #science again so more ppl gonna die. #onpoli #COVID #cdnpoli https://t.co/qpmW2qbvLU,v,p
Children 12-17 who were among the first to get the vaccine when they became eligible are coming up on 6mo imminently.  Will they need a booster? If so when? It seems urgent.  @apoorva_nyc @EricTopol @VincentRK @rddysum https://t.co/skVGqSHbvY,v,p
JUST IN: Biden Regime Quietly Tells Federal Agencies to Suspend Enforcement of Vaccine Mandate For Federal Workers Until After Holidays While Publicly Pressuring “The World” To Take Experimental Jab https://t.co/2MjSgWCo8L,m,/
"Federal court blocks Biden's vaccine mandate for health workers in 10 states
 https://t.co/qFXLyQkieX",m,n
"How are they planning to convince the anti-vaxers?  How many more who were anti-vax do we have to see die on video, crying that they were wrong?  All vaccinated adults should get a Covid-19 booster shot because of the Omicron variant, CDC says
https://t.co/16xR1hcJFx",v,p
Any thoughts on #covaxin fda need to look into it gr8 vaccine by #bharat biotech against omicro and delta variant #ocugen https://t.co/8wEFHHWRtv,v,p
I guess I need to limit my business to vaccinated people. Just saw a client post a message about how happy she was that Covid Kim &amp; others won lawsuit about vaccine mandates. I don't need that kind of people in my home business exposing my immuno compromised husband.,v,p
"Cases and outbreaks are still surging in schools, as health officials say the latest statewide spike is being driven by the unvaccinated. https://t.co/Rk2QvpJKQk",cs,n
"Garden state ‘now nation’s debt pit’
https://t.co/MaeGSWTLCJ
Victoria will be burdened by triple the level of debt than before the pandemic, according to the latest economic snapshot.
And they are about to give #DanAndrews more power! #KillTheBill",s,n
Latest devastating news on the vaccine https://t.co/KtzXnlgO3i,ac,n
👀 RT @Forbes: Covid cases among Cowboys players and staff swells into one of the largest known outbreaks in the NFL this season https://t.co/apdiZNCN73,cs,n
"‘Access denied’: USC students are frustrated over COVID testing demand, experience delays in campus access after Thanksgiving break
https://t.co/Qoubx4yiJ7",m,n
BREAKING: Federal judge blocks Biden’s vaccine mandate in 10 states that had brought the first legal challenge against the requirement -,m,n
"Cowboys Coach Mike McCarthy, several others will miss Thursday's game due to COVID-19

https://t.co/t6WxIR9ii9",cs,n
What if the science leads to the vaccinated causing the mutation of Covid? Would there be a vaccination test and those found to be vaccinated thrown in camps? Asking for a friend.,v,n
Judge Strikes Down Joe Biden’s Vaccine Mandate for Healthcare Workers LET FREEDOM RING BIDEN CANCELLED PREPARED TO READ SPEACH TO CEOs ON SUPPLY DISRUPTIONS  https://t.co/yF0CNR3AQI,m,n
WHO warns that new virus variant poses 'very high' risk | AP News https://t.co/8RUFT1gCcn,cs,n
"Some Hospitals Prepare to Lose Staff Over CO. VAX. Mandate

Up to 30% of hospital workers aren’t VAX.~
Ahead of a Jan. 4 federal deadline

Will news reports soon be:
Panic!
CO. causes hospital Capacity

W/out stating~
Due to lack of staff=less capacity?
https://t.co/Cz3JPkdRdw",m,n
"No Covid scripts. Please, no covid scripts.",ac,n
forgot to post something but I do not have covid!! I haven't had any symptoms and I'm fully vaxxed but like it scares the crap out of me,v,p
Growth in 7D US Confirmed Covid Cases by County For WI   2021-11-26:  Covid Insights From Our Analytics Team and USAFacts #datavisualization #datascience #analytics #health #data #covid19 #publichealth #covid #globalhealth https://t.co/6SCuP6lz0O,cs,n
"I don't know about you, but I'm quite anxious about the COVID-19 Omicron variant, so I really appreciated the expertise of Dr. @LisaBarrettID in one of the last interviews of @CTVAnchor on @CTVAtlantic News at 6.

 https://t.co/6jKOPvPgOm",ac,n
"For more information on where to find a COVID-19 vaccine in your community, visit https://t.co/Zg8iiwwTds.
#YourShot https://t.co/Mf9EM8pIaN",v,p
Labor shortages are just one of the ways the pandemic is fundamentally reshaping the U.S. workforce. Here's Wealth Management Chief Investment Officer Lisa Shalett’s perspective on what it could mean for investors. https://t.co/uvHP3RackG,s,/
"UK health secretary persuades double jabbed Covid recovered journalist to get his third jab. Watch
👇🏽 https://t.co/YSccQE66D8",v,p
"Is this man still here?

We're utterly useless at defending ourselves

#China #CCP #COVID #CCPVirus https://t.co/39b82jOtt5",ac,n
"“If you or a loved one took a COVID-19 vaccine, you may be eligible for financial compensation” ~Average 2025 commercial",v,/
"Local COVID Vaccine Clinic - Walk in, no appointment necessary. Monday Dec 6th, 2021  10AM-2PM  @CookCoHealth @IDPH https://t.co/VYqq1rv91f",v,p
Fauci and vaccine scientists on Covid/Omicron. Watch starting in one minute on YouTube for free. Link: [https://t.co/R8KUUfCSG9] https://t.co/laBSh5Q2sk,v,/
"This administration is owned by big pharma (&amp; China). Existing effective therapeutics are being downplayed and the expensive, ineffective vaccine is being pushed. Is Hunter working for Pfizer now? @TuckerCarlson @SchmittNYC",v,n
Stop giving this man who has never treated one Covid case a megaphone https://t.co/RqZ5s8iqBY,m,n
Getting closer to 1/2 of my 5th-graders having their 1st COVID vaccination. So proud of them &amp; their parents! #ksed,v,p
"Price Action can be messy. On Oct 01, Merck announced that it has developed an antiviral covid pill. The stock gapped up to $82. It then filled the gap and rallied to $90 but then news of Pfizer antiviral came out and Merck is now below all this news started.

Merck is at $75 https://t.co/swIWwEVQFj",v,/
Can anyone explain to me while very cautious Michigan and New York are totally locked down and crazier than ever Florida is wide open with no covid this doesn't make sense to me please help..,m,/
"The pandemic will only be over when it's over everywhere, not just in affluent developed countries.

Jab the world.",v,p
Dr. Simone Gold On Risks Of The Experimental mRNA Covid Jab https://t.co/V6fHkWjoVU,v,n
What's the German word for that feeling when you can't fit into clothes you bought right before the pandemic and got to wear like once lmao,ac,n
"Two new anti-viral treatments for Covid are huge breakthroughs. It's not all bad news, folks. Keep your hope strong: https://t.co/NM4dMfhe73",v,p
"You guys have to understand, to the US economy is more important in the face of COVID-19 #OmicronVariant and do not want  people to panic.",m,n
What the Data on Coronavirus Omicron Actually Shows https://t.co/mAcRtH1fqR,cs,/
"Toronto Medical Officer of Health @EPdeVilla on the COVID-19 omicron variant: ""I don't have any news to report, but I think we should expect that just given the global nature of our city, that we shouldn't be surprised when we find cases in Toronto in the not too distant future."" https://t.co/7paoyPr5tv",cs,n
"Anti-vaxx Chronicles: Long-haul COVID (or worse), blames everyone but herself https://t.co/4dJfoS3hhN",v,p
The authorization would allow teenagers aged 16 and 17 to receive a COVID-19 booster shot  https://t.co/IvgAvPzSC1,v,p
Pfizer expects $36 billion in revenue this year from their ZERO LIABILITY vaccine… let that sink in. It’s not about health it’s business.,v,n
"goodmorning, vaccine day wish me luck !! 😙",v,p
Omicron emergence helps Victorian government secure support for pandemic bill https://t.co/UKwK28Xago,m,/
"It’s kind of sad what a cesspool of misinformation, conspiracy theories and racist trolls twitter has become. Every post from the local news about Covid is flooded with replies from anti vax nutcases. Glad I don’t follow any idiots like that.",ac,n
"Couple caught fleeing Dutch COVID-19 quarantine moved to ""forced isolation"" https://t.co/x76dqiQRLa",m,/
Scott Morrison wants everybody to get covid,ac,/
"How about the electric slide
Straight to the vaccination sites! https://t.co/sk084rbZfT",v,p
"The CDC advised all adults should get the COVID booster shot when they are eligible, a change from earlier advice that some adults could choose to do so. https://t.co/U0qGcjZOQT",v,p
"I’m a #PUREBLOOD I’m 68.
I’ve had COVID-19 and was fortunate to have had mild symptoms.
I’ll never take the jab!",v,n
".....well, the biggest scam after the “covid panic at the disco” attempted authoritarian power grab. https://t.co/VcA5Q7hTqr",m,n
"From #flexibleworking to #fourdayworkweek to the #GreatResignation - what does the #futureofwork mean for #HR professionals and their organisations post-pandemic? Join our expert panel on Wednesday, details here: https://t.co/5piTrypTo6 https://t.co/7M1uhExIOW",s,/
Poverty in the Pandemic: Americans in Corona-Fueled Economic Crisis | Po... https://t.co/EwRzkNfW1P via @YouTube,s,n
why aren’t covid tests free and delivered in a week long supply to everyone weekly.,m,/
Maybe of we outlaw faceapp covid would finally stop yassifying Itself into new variants,ac,n
Did Covid Change My Life for the Better? https://t.co/YnJ9AgRQfu via @MimiBarbour,ac,p
"""There is no vaccine"" is the mantra. Wake people up. It's a strong shocking statement that just happens to be true. https://t.co/pg8Db3Aqbe",v,n
The ACOG Foundation funded research on the role of vaccine package inserts in #obgyn recommendations and perceptions of safety and effectiveness of vaccines during pregnancy. Want to support similar critical research? Donate: https://t.co/3GUwIr5WHt #GivingTuesday https://t.co/y0xBC93QWT,v,p
Micheal Martin: Removal of the domestic COVID pass in Ireland - Sign the Petition! https://t.co/q4dJKoDu1Z via @Change,m,p
Labor shortages are just one of the ways the pandemic is fundamentally reshaping the U.S. workforce. Here's Wealth Management Chief Investment Officer Lisa Shalett’s perspective on what it could mean for investors. https://t.co/CDvhNqkcDU,s,n
"WHO flags Omicron risk, travel curbs tighten, Biden urges vaccination https://t.co/SIS6mz28f4",ac,/
"“On Thursday, I'll be putting forward a detailed strategy outlining how we're gonna fight Covid this winter. Not with shutdowns or lockdowns, but with more widespread vaccinations, boosters, testing, and more."" https://t.co/sDD8gZLsUN",v,p
"Perhaps here is a reason why a section of Media, WHO &amp; other Pfizer Bhagats want you to take more &amp; more Pfizer shots 👇👇👇👇 https://t.co/nKeXllwcSi",v,n
Omicron emergence helps Victorian government secure support for pandemic bill https://t.co/cW7Q5V5ObS,ac,n
New covid just dropped,ac,/
"The next thing you know, Joe Biden will be telling us that anal sex cures Covid, and before you know it everybody will be lining up to get fucked in the ass. But aren’t we already getting fucked in the ass by Joe Biden?",m,n
The dmv got worse idk what to tell ya. You used to be able to go for an emergency but ever since covid it’s strict appointment only,s,n
"Ontario’s Chief Medical Officer of Health Dr. Kieran Moore mentioned the possible acceleration of the province's third dose vaccine strategy in the wake of a newly discovered COVID-19 variant of concern in the province. #Oakville #Halton

Read more: https://t.co/5cyJz3Waqy https://t.co/zf5e2X6QMw",v,p
"Governor @KimReynoldsIA has imposed some of the most restrictive anti-choice measures on the women of Iowa. Now she claims to respect the freedom of health care providers to make vaccine decisions about their health. Hypocrisy is not lost on me.
#iowa #covidkim https://t.co/BAO2pTMrN0",m,n
"Haven't dined on their rubbish food for literally 15 years,so I don't give a fu*k.I do care tho about the discrimination &amp; apartheid system that they are supporting.Assholes!  Covid-19: McDonald's requires vaccine pass to dine-in under traffic light system https://t.co/3ns9OWSUsr",m,n
NYC Issues New Mask Advisory Amid Omicron Concerns | https://t.co/PHcRJbPPmc https://t.co/j7V9OPvPsS,m,/
"Special 🙏🏽 @CCHEVillage &amp; Dr John Schneider for tour for @UChiPritzker leaders through an amazing community site including Hyde Park @howardbrownhc on eve of #WorldAIDSDay2021

Loved the destigmatized self-serve STI and COVID testing and learning how our students can help. #MedEd https://t.co/2usHwvCHHa",m,p
The media has systematically misrepresented the Covid threat from the beginning and is now too responsible for scaring mass numbers of people into injury and death to own up to the facts. The media will continue to lie in order to protect itself and the medical establishment.,m,n
"OHCHR | States must prioritize health and equality over profits and vaccine hoarding, UN experts say https://t.co/kxS5EgdmaN",m,n
"Coronavirus: First case of Omicron variant discovered in Spain -
The Spanish government has confirmed the first case of the Omicron variant of the coronavirus in Spain.

A 51-year-old man in the... - https://t.co/vjQ7MJIrfA. #CoronavirusPandemic https://t.co/HPlvuAMdfH",cs,n
Cock-Blocking ass Covid man! 🤦🏾‍♂️,ac,n
"""Ever since the “warp speed” roll out of Covid vaccines in December 2020, Americans have constantly heard the refrain they were “safe and effective.” However, there is accumulating evidence that they are “neither safe, nor effective” in the aggregate."" https://t.co/wVE6gTotiH",v,n
Colorado's state health department @cdphe says 20.6% of Colorado 5 - 11 year-olds have received at least one dose of the COVID-19 vaccine. That's nearly 100k since vaccinations began for that group a few weeks ago.,v,p
I did this but with a Covid test. Showed up with no damn appointment https://t.co/wvnqlgATiH,ac,n
"The past two #RaisingCanada reports by @children1stca have signalled a worrisome delay in routine vaccinations. Understandably parents &amp; paediatricians have been focused the #COVID19 vaccine rollout, but we must also ensure kids have all their routine vaccinations up to date! 💉 https://t.co/Yh2ZTyo5BQ",v,p
"While Michigan COVID-19 Cases Soar, Some Schools Bring Back Masks, Virtual Learning https://t.co/LLbtYm3mlY",s,n
"Flashback 2016: Fauci’s Cohort Peter Daszak Explains How Scientists Can Perfectly Create a Coronavirus in China Lab That Can Lead to Global Pandemic
https://t.co/hG2oLboTtH",ac,n
While Ontario waits for &lt;70s to become eligible for 3rd vaccine doses the UK’s is speeding up eligibility plus halving the minimum gap between jabs  to 3 months. They're currently already boostering over 40s while Ontario dithers. https://t.co/cvE5sWLQ5W #onpoli #CovidON,v,p
"‼️Know the IMPACT of your Donation‼️ Covid 360 supported over 2000 people who have been severely impacted by Covid-19. We need our community to step up so we can continue the work.  This #GivingTuesday, pls support @acsatoronto https://t.co/KlE4uCmpuM https://t.co/GZDCzWpu3M",s,p
"Powell says COVID variant clouds inflation, economic outlook https://t.co/z3cS5Q2cCo",s,n
"This creatine and Pfizer combo doing some serious work I can basically eat anything now

Y’all should try a cycle or 2",v,p
"COVID-19 | Omicron variant poses very high global risk, says WHO https://t.co/TuouZerynX",ac,n
sonneillonv: fromquantumfluctuations: international friends: here’s the deal. South African scientists have been tracking the COVID genome and keeping an eye out for mutations. Most places in the world aren’t doing so. When we announce a new... https://t.co/Er4X3kIY78,m,n
"Called it.

You’ll now be getting boosters every 3 months.

#COVID19 #vaccine https://t.co/StouWlhAmE",v,p
The LA transplant urge to miss NY but feel guilty because a pandemic hasn’t given you the chance to enjoy and make local friends,s,n
"Omicron expected to arrive in NYC, COVID masks should be worn indoors ‘at all times,’ city’s top doctor says

https://t.co/9JvcCdszKX

The Sky Is Falling! The Sky Is Falling!!",ac,n
"Can it be said that COVID-19 knows to stop at specific county lines and does not travel over?

It is completely irrational that, at this point in time, now that COVID-19 has spread across the globe, a first grader in Wildwood is not allowed to play sports,",m,n
The MP who gave the vote to get the Pandemic Bill through already having his office address spread and being told he won't be able to step out in public. Stay classy anti vaxers.,ac,n
Can someone please tell me why Steven Miller can’t just crawl back into the hole that he came from and hibernate for say 100 years?  Isn’t that what vampires normally do? https://t.co/nCdoBBHQ7B,m,n
"The judge should halt the mandate in all 50 states!
https://t.co/298MJfwjHj",m,n
"Our first gig since Covid hit, this Saturday night in Fibbers Dublin, kicks off at 7 , should be a great night , pop in if your in town ✌️❤️ https://t.co/TOgSZfxJJY",s,p
CDC expands Covid-19 booster advice amid Omicron scare https://t.co/ucKkpZkx63,v,p
"OMICRON INBOUND: It is only a “matter of time” that the COVID-19 variant Omicron will arrive in the United States and, eventually, Kansas. https://t.co/KV7xjDqzoL",cs,n
Southern states have lowest vaccination rates but lowest current transmission rate???,v,n
".@UNDP  @PNUDLAC Director Luis Felipe Lopez-Calva launches new @UNDP-@WorldBank regional study on #COVID-19 impact with @LFLopezCalva @CF_Jaramillo @MelendezMarcela, Ximena del Carpio. @PNUDLAC @BancoMundial phone survey is focus: https://t.co/zLn7BSLliq https://t.co/vUGkPhN4oQ",s,/
"I agree with you !

The vaccine creates the variants Requiring Boosters , which in turn cause more Variants!

Evil Genius Marketing ! 🧐 https://t.co/ISvW07g4KE",v,n
I think the threat of a never-ending pandemic is enough of an Armageddon-related tidbit for one news cycle - don’t you? #notreadyforrobotoverlords https://t.co/EcpIgSbqCT,ac,n
"Are you tired of this pandemic?
Really bone tired?

#VOTEBLUE22",ac,n
"An Uneven Recovery: Impact of Covid on Latin #America and Caribbean
https://t.co/rbxiKYoHEu
#American #Chile #Dominica #ElSalvador #Guatemala #Guyana #Haiti #HealthServices #Jamaica #Nicaragua #Peru #SaintLucia #UNDP #UnitedNations #WorldBank https://t.co/hbtEdU3g9f",s,n
"Federal Judge, down south, just stopped a mandatory vaccination of healthcare workers in 10 (TEN)  States; in the middle of pandemics and new viruses coming. What in a hell is going on?Federal Judge stopping vaccination?. Who's the S.O.B. ? We are doomed.",m,n
"Go get your vaccine, especially with Omicron, by @dr_kkjetelina https://t.co/ZJZpKOmDDg",v,p
"A sad, but not unexpected, development. Too bad, as I had a family member slated to compete.

World University Winter Games canceled due to COVID-19 variant https://t.co/5dQiWV1L06 via @NBCOlympicTalk",s,n
"Pfizer expected to seek FDA authorization for boosters for those ages 16 and 17

https://t.co/Gefkc01FBZ",v,p
Omicron symptoms: What to look out for https://t.co/LHPqAH2XzG,ac,n
"Rapid COVID-19 vaccine booster shot update and retaining masks needed to curtail Omicron, experts say - ABC News https://t.co/uwdrPitaei",m,p
Enforcement begins today for L.A.'s COVID-19 vaccine requirements https://t.co/pTHmK4veT4,v,p
Grant aims to boost COVID-19 vaccination rate in Black communities https://t.co/t9LqaiJ5XK,v,p
Ivermectin and HCQ work. https://t.co/WFTSRwuI8m,ac,/
BREAKING REPORT: Federal judge SUSPENDS Biden's COVID VACCINE MANDATE for health workers in 10 states..,m,n
"Omicron expected to arrive in NYC, COVID masks should be worn indoors ‘at all times,’ city’s top doctor says https://t.co/gAtEXE4E8B",m,/
"Not exactly but flu seasons can get really bad and become an epidemic, this vaccine hesitancy and refusal will absolute put humanity in a blender again. https://t.co/pZSuDbZTVW",v,p
Judge Strikes Down Joe Biden’s Vaccine Mandate for Healthcare Workers https://t.co/05Y7agOYVu,m,n
Another new covid variant.. https://t.co/MUkdtcpyiN,ac,n
COVID McCOVIDface? https://t.co/KWAwY5zDXm,ac,/
"Fox News has sabotaged the vaccination campaign. Now a Fox anchor is attacking Joe Biden for vaccination rates being too low.
 https://t.co/40RrnS5vPT",m,n
FUCKIN CULT refused vaccine to OBSTRUCT herd immunity. They'd rather DIE then let Biden succeed..cuz they're uneducated MORONS https://t.co/UkoQPaasHl,v,p
"Have HOPE friends! This is from the Ninth Circuit HALTING the San Diego Unified vaccination requirements. Keep it up! Keep raising your voices, your signs, your prayers, and your votes. All of these things matter!

https://t.co/oHQtSfIgVw https://t.co/JA1CaZ4Rpi",m,n
"I love how everyone is now acting like those of us who, early in the pandemic, said the CDC was wrong about masks &amp; that there might be something to the lab-leak hypothesis were never considered crazy &amp; told to shut up. Well done, gaslighters. #subtweet",ac,n
"Brilliant stuff by Pfizer and Co.

1) Create a ""vaccine"" based on false promises and have governments pay billions for it.

2) Create booster shots because the ""vaccine"" is not effective and have governments pay again.

3) Create a pill to try to cover up for the booster failure.",v,n
"I’m booster’d!!

Didn’t hurt, quick, and easy.

#BCCOVID #Moderna #VaccinesSaveLives https://t.co/SwrTucmeiB",v,p
I know young kids generally do not experience severe disease with Covid so I was never panicking about my nine year old. But I don’t think I fully realized how worried I was until I booked her appointment today and the floodgates opened. Just so grateful to science!,v,p
Covid is gonna dye it’s hair blond next,ac,/
Steelers put T.J. Watt on COVID-19 reserve #Steelers https://t.co/9wB3n9nxV6,m,/
"Was feeling so good earlier today after getting boosted yesterday, but it hit about 4 pm and I have had a fever, chills, and rigors ever since.  If Covid is worse than this, I will gladly get 100 vaccines.",v,p
Fox is using public airwaves to spread dangerous propaganda against vaccine (while requiring employees get the shot). The lies are literally killing people. It's time for the FCC to crack down.,v,p
"I’m sick ugh…I’ve got a sinus/stomach bug I think. I’ve been Puking , having a headache , diarrhea , I’m cold but hot , my body aches , I can barely keep anything down.

This sucks , I can taste so hopefully it’s not covid",ac,n
